total_bill,tip,smoker,sex_id,day_id,time_id,size
1381.0,200.0,No,2,1,1,2
1751.0000000000002,300.0,Yes,1,1,1,2
2452.0,348.0,No,2,1,1,3
2076.0,224.00000000000003,No,2,1,1,2
3171.0,450.0,No,2,1,1,4
1059.0,161.0,Yes,1,7,1,2
1063.0,200.0,Yes,1,7,1,2
5081.0,1000.0,Yes,2,7,1,3
1581.0,316.0,Yes,2,7,1,2
725.0,515.0,Yes,2,1,1,2
3185.0,318.0,Yes,2,1,1,2
1682.0,400.0,Yes,2,1,1,2
3290.0,311.0,Yes,2,1,1,2
1789.0,200.0,Yes,2,1,1,2
1448.0,200.0,Yes,2,1,1,2
960.0,400.0,Yes,1,1,1,2
3463.0000000000005,355.0,Yes,2,1,1,2
3465.0,368.0,Yes,2,1,1,4
2333.0,565.0,Yes,2,1,1,2
4535.0,350.0,Yes,2,1,1,3
2317.0,650.0,Yes,2,1,1,4
4054.9999999999995,300.0,Yes,2,1,1,2
2069.0,500.0,No,2,1,1,5
2090.0,350.0,Yes,1,1,1,3
3046.0,200.0,Yes,2,1,1,5
1814.9999999999998,350.0,Yes,1,1,1,3
2310.0,400.0,Yes,2,1,1,3
1569.0,150.0,Yes,2,1,1,2
1980.9999999999998,419.00000000000006,Yes,1,5,2,2
2844.0,256.0,Yes,2,5,2,2
1548.0,202.0,Yes,2,5,2,2
1657.9999999999998,400.0,Yes,2,5,2,2
756.0,144.0,No,2,5,2,2
1034.0,200.0,Yes,2,5,2,2
4311.0,500.0,Yes,1,5,2,4
1300.0,200.0,Yes,1,5,2,2
1351.0,200.0,Yes,2,5,2,2
1871.0,400.0,Yes,2,5,2,3
1274.0,200.99999999999997,Yes,1,5,2,2
1300.0,200.0,Yes,1,5,2,2
1639.9999999999998,250.0,Yes,1,5,2,2
2053.0,400.0,Yes,2,5,2,4
1647.0,323.0,Yes,1,5,2,3
2659.0,341.0,Yes,2,7,1,3
3872.9999999999995,300.0,Yes,2,7,1,4
2427.0,202.99999999999997,Yes,2,7,1,2
1276.0,223.0,Yes,1,7,1,2
3006.0,200.0,Yes,2,7,1,3
2589.0,516.0,Yes,2,7,1,4
4833.0,900.0,No,2,7,1,4
1327.0,250.0,Yes,1,7,1,2
2817.0,650.0,Yes,1,7,1,3
1290.0,110.00000000000001,Yes,1,7,1,2
2815.0,300.0,Yes,2,7,1,5
1159.0,150.0,Yes,2,7,1,2
774.0,144.0,Yes,2,7,1,2
3014.0,309.0,Yes,1,7,1,4
1216.0,220.00000000000003,Yes,2,6,2,2
1342.0,348.0,Yes,1,6,2,2
858.0,192.0,Yes,2,6,2,1
1598.0,300.0,No,1,6,2,3
1342.0,158.0,Yes,2,6,2,2
1627.0,250.0,Yes,1,6,2,2
1009.0,200.0,Yes,1,6,2,2
2045.0,300.0,No,2,7,1,4
1328.0,272.0,No,2,7,1,2
2212.0,288.0,Yes,1,7,1,2
2401.0,200.0,Yes,2,7,1,4
1569.0,300.0,Yes,2,7,1,3
1161.0,339.0,No,2,7,1,2
1077.0,147.0,No,2,7,1,2
1553.0,300.0,Yes,2,7,1,2
1007.0,125.0,No,2,7,1,2
1260.0,100.0,Yes,2,7,1,2
3283.0,117.0,Yes,2,7,1,2
3583.0,467.0,No,1,7,1,3
2903.0,592.0,No,2,7,1,3
2718.0,200.0,Yes,1,7,1,2
2267.0,200.0,Yes,2,7,1,2
1782.0,175.0,No,2,7,1,2
1878.0,300.0,No,1,5,1,2
